Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
US,AL,,,4.00%,AL State Tax,1,0,0,
US,AK,,,0.00%,AK State Tax,1,0,0,
US,AZ,,,5.60%,AZ State Tax,1,0,0,
US,AR,,,6.50%,AR State Tax,1,0,0,
US,CA,,,7.25%,CA State Tax,1,0,0,
US,CO,,,2.90%,CO State Tax,1,0,0,
US,CT,,,6.35%,CT State Tax,1,0,0,
US,DE,,,0.00%,DE State Tax,1,0,0,
US,FL,,,6.00%,FL State Tax,1,0,0,
US,GA,,,4.00%,GA State Tax,1,0,0,
US,HI,,,4.00%,HI State Tax,1,0,0,
US,ID,,,6.00%,ID State Tax,1,0,0,
US,IL,,,6.25%,IL State Tax,1,0,0,
US,IN,,,7.00%,IN State Tax,1,0,0,
US,IA,,,6.00%,IA State Tax,1,0,0,
US,KS,,,6.50%,KS State Tax,1,0,0,
US,KY,,,6.00%,KY State Tax,1,0,0,
US,LA,,,4.45%,LA State Tax,1,0,0,
US,ME,,,5.50%,ME State Tax,1,0,0,
US,MD,,,6.00%,MD State Tax,1,0,0,
US,MA,,,6.25%,MA State Tax,1,0,0,
US,MI,,,6.00%,MI State Tax,1,0,0,
US,MN,,,6.88%,MN State Tax,1,0,0,
US,MS,,,7.00%,MS State Tax,1,0,0,
US,MO,,,0.00%,MO State Tax,1,0,0,
US,MT,,,0.00%,MT State Tax,1,0,0,
US,NE,,,5.50%,NE State Tax,1,0,0,
US,NV,,,6.85%,NV State Tax,1,0,0,
US,NH,,,0.00%,NH State Tax,1,0,0,
US,NJ,,,6.63%,NJ State Tax,1,0,0,
US,NM,,,5.13%,NM State Tax,1,0,0,
US,NY,,,4.00%,NY State Tax,1,0,0,
US,NC,,,4.75%,NC State Tax,1,0,0,
US,ND,,,5.00%,ND State Tax,1,0,0,
US,OH,,,5.75%,OH State Tax,1,0,0,
US,OK,,,4.50%,OK State Tax,1,0,0,
US,OR,,,0.00%,OR State Tax,1,0,0,
US,PA,,,6.00%,PA State Tax,1,0,0,
US,RI,,,7.00%,RI State Tax,1,0,0,
US,SC,,,6.00%,SC State Tax,1,0,0,
US,SD,,,4.50%,SD State Tax,1,0,0,
US,TN,,,7.00%,TN State Tax,1,0,0,
US,TX,,,6.25%,TX State Tax,1,0,0,
US,UT,,,6.10%,UT State Tax,1,0,0,
US,VT,,,6.00%,VT State Tax,1,0,0,
US,VA,,,5.30%,VA State Tax,1,0,0,
US,WA,,,6.50%,WA State Tax,1,0,0,
US,WV,,,6.00%,WV State Tax,1,0,0,
US,WI,,,5.00%,WI State Tax,1,0,0,
US,WY,,,4.00%,WY State Tax,1,0,0,
CA,AB,,,5.00%,AB GST,1,0,0,
CA,BC,,,5.00%,BC GST,1,0,0,
CA,BC,,,7.00%,BC PST,2,0,0,
CA,MB,,,5.00%,MB GST,1,0,0,
CA,MB,,,7.00%,MB PST,2,0,0,
CA,NB,,,15.00%,NB HST,1,0,0,
CA,NL,,,15.00%,NL HST,1,0,0,
CA,NS,,,15.00%,NS HST,1,0,0,
CA,NT,,,5.00%,NT GST,1,0,0,
CA,NU,,,5.00%,NU GST,1,0,0,
CA,ON,,,13.00%,ON HST,1,0,0,
CA,PE,,,15.00%,PE HST,1,0,0,
CA,QC,,,5.00%,QC GST,1,0,0,
CA,QC,,,9.98%,QC PST,2,0,0,
CA,SK,,,5.00%,SK GST,1,0,0,
CA,SK,,,6.00%,SK PST,2,0,0,
CA,YT,,,5.00%,YT GST,1,0,0,
GB,,,,20.00%,UK VAT,1,0,1,
NO,,,,25.00%,NO VAT,1,0,1,
AT,,,,20.00%,AT VAT,1,0,1,
BE,,,,21.00%,BE VAT,1,0,1,
BG,,,,20.00%,BG VAT,1,0,1,
CY,,,,19.00%,CY VAT,1,0,1,
CZ,,,,21.00%,CZ VAT,1,0,1,
DE,,,,19.00%,DE VAT,1,0,1,
DK,,,,25.00%,DK VAT,1,0,1,
EE,,,,20.00%,EE VAT,1,0,1,
EL,,,,24.00%,EL VAT,1,0,1,
ES,,,,21.00%,ES VAT,1,0,1,
FI,,,,24.00%,FI VAT,1,0,1,
FR,,,,20.00%,FR VAT,1,0,1,
HR,,,,25.00%,HR VAT,1,0,1,
HU,,,,27.00%,HU VAT,1,0,1,
IE,,,,23.00%,IE VAT,1,0,1,
IT,,,,22.00%,IT VAT,1,0,1,
LT,,,,21.00%,LT VAT,1,0,1,
LU,,,,17.00%,LU VAT,1,0,1,
LV,,,,21.00%,LV VAT,1,0,1,
MT,,,,18.00%,MT VAT,1,0,1,
NL,,,,21.00%,NL VAT,1,0,1,
PL,,,,23.00%,PL VAT,1,0,1,
PT,,,,23.00%,PT VAT,1,0,1,
RO,,,,19.00%,RO VAT,1,0,1,
SE,,,,25.00%,SE VAT,1,0,1,
SI,,,,22.00%,SI VAT,1,0,1,
SK,,,,20.00%,SK VAT,1,0,1,
